YEAR,dma_code,weight,HINCP_ADJ,AGEP,RAC1P,ESR
2008,500,0.002,41142.9156,79.0,1.0,6.0
2008,500,0.002,63140.118,54.0,1.0,1.0
2008,500,0.002,120679.0965,37.0,1.0,1.0
2008,500,0.002,146749.8549,26.0,1.0,1.0
2008,500,0.002,44813.189556,45.0,1.0,1.0
2008,500,0.002,28789.85703,88.0,1.0,6.0
2008,500,0.002,65686.0905,39.0,1.0,1.0
2008,500,0.002,10183.89,52.0,1.0,6.0
2008,500,0.002,24441.336,22.0,1.0,1.0
2008,500,0.002,89414.5542,81.0,1.0,6.0
2008,500,0.002,112022.79,46.0,1.0,1.0
2008,500,0.002,91451.3322,66.0,1.0,1.0
2008,500,0.002,62121.729,47.0,1.0,1.0
2008,500,0.002,37772.04801,57.0,1.0,1.0
2008,500,0.002,84729.9648,31.0,1.0,1.0
2008,500,0.002,184328.40899999999,89.0,1.0,6.0
2008,500,0.002,67213.674,60.0,1.0,1.0
2008,500,0.002,144611.238,70.0,1.0,6.0
2008,500,0.002,83507.898,43.0,1.0,1.0
2008,500,0.002,59117.48145,58.0,1.0,1.0
2008,500,0.002,37884.0708,55.0,1.0,3.0
2008,500,0.002,107949.234,37.0,1.0,6.0
2008,500,0.002,33606.837,47.0,1.0,1.0
2008,500,0.002,55502.2005,43.0,1.0,1.0
2008,500,0.002,18025.4853,74.0,1.0,1.0
2008,500,0.002,122206.68,33.0,1.0,1.0
2008,500,0.002,20367.78,31.0,1.0,1.0
2008,500,0.002,151882.53545999998,41.0,1.0,1.0
2008,500,0.002,22506.3969,55.0,1.0,6.0
2008,500,0.002,102898.02456,40.0,1.0,6.0
2008,500,0.002,30857.1867,66.0,1.0,6.0
2008,500,0.002,32893.9647,69.0,1.0,6.0
2008,500,0.002,45827.505,59.0,1.0,1.0
2008,500,0.002,61103.34,88.0,1.0,6.0
2008,500,0.002,20367.78,31.0,1.0,1.0
2008,500,0.002,53872.778099999996,87.0,1.0,6.0
2008,500,0.002,110016.56367,20.0,1.0,6.0
2008,500,0.002,49901.061,49.0,1.0,1.0
2008,500,0.002,13035.3792,59.0,1.0,1.0
2008,500,0.002,61408.8567,49.0,1.0,1.0
2008,500,0.002,32588.448,29.0,1.0,1.0
2008,500,0.002,126748.69494,18.0,1.0,6.0
2008,500,0.002,19756.7466,63.0,1.0,6.0
2008,500,0.002,27292.8252,81.0,1.0,6.0
2008,500,0.002,172107.741,44.0,1.0,1.0
2008,500,0.002,91655.01,64.0,1.0,1.0
2008,500,0.002,89109.0375,29.0,1.0,1.0
2008,500,0.002,115077.957,64.0,1.0,1.0
2008,500,0.002,64362.1848,74.0,1.0,6.0
2008,500,0.002,114365.08469999999,54.0,1.0,1.0
2008,500,0.002,26783.630699999998,56.0,1.0,6.0
2008,500,0.002,59677.5954,64.0,1.0,6.0
2008,500,0.002,74342.397,47.0,1.0,1.0
2008,500,0.002,66195.285,61.0,1.0,6.0
2008,500,0.002,209788.134,75.0,1.0,6.0
2008,500,0.002,52243.3557,35.0,1.0,1.0
2008,500,0.002,8758.1454,89.0,1.0,6.0
2008,500,0.002,67213.674,56.0,1.0,1.0
2008,500,0.002,142696.66668,66.0,1.0,6.0
2008,500,0.002,77193.8862,60.0,1.0,6.0
2008,500,0.002,41550.2712,77.0,1.0,6.0
2008,500,0.002,47049.5718,61.0,1.0,1.0
2008,500,0.002,107847.3951,58.0,1.0,1.0
2008,500,0.002,16620.10848,75.0,1.0,6.0
2008,500,0.002,34523.3871,47.0,1.0,1.0
2008,500,0.002,63241.9569,51.0,9.0,6.0
2008,500,0.002,72305.619,45.0,1.0,1.0
2008,500,0.002,39554.22876,55.0,1.0,1.0
2008,500,0.002,62427.2457,56.0,1.0,6.0
2008,500,0.002,87377.7762,66.0,1.0,6.0
2008,500,0.002,137482.51499999998,48.0,1.0,1.0
2008,500,0.002,68232.063,47.0,1.0,1.0
2008,500,0.002,88599.843,34.0,1.0,1.0
2008,500,0.002,26987.3085,59.0,1.0,1.0
2008,500,0.002,116198.1849,21.0,1.0,1.0
2008,500,0.002,64158.507,29.0,1.0,1.0
2008,500,0.002,18015.30141,83.0,1.0,6.0
2008,500,0.002,53159.9058,34.0,1.0,1.0
2008,500,0.002,93284.4324,47.0,1.0,1.0
2008,500,0.002,65991.6072,56.0,1.0,1.0
2008,500,0.002,52345.1946,43.0,1.0,1.0
