store_code_uc,year,parent_code,retailer_code,channel_code,store_zip3,fips_state_code,fips_state_descr,fips_county_code,fips_county_descr,dma_code,dma_descr
1255540,2012,6901,6901,M,770.0,48.0,TX,201.0,HARRIS,618.0,HOUSTON TX
1255667,2012,4901,4901,D,444.0,39.0,OH,155.0,TRUMBULL,536.0,YOUNGSTOWN OH
1255712,2012,6904,6904,M,982.0,53.0,WA,29.0,ISLAND,819.0,SEATTLE-TACOMA WA
1255816,2012,6,6,F,605.0,17.0,IL,43.0,DU PAGE,602.0,CHICAGO IL
1256070,2012,4901,4901,D,134.0,36.0,NY,65.0,ONEIDA,526.0,UTICA NY
1256115,2012,6904,6904,M,573.0,46.0,SD,5.0,BEADLE,725.0,SIOUX FALLS (MITCHELL) SD
1256162,2012,4904,4904,D,945.0,6.0,CA,13.0,CONTRA COSTA,807.0,SAN FRANCISCO-OAKLAND-SAN JOSE CA
1256473,2012,4901,4901,D,439.0,39.0,OH,29.0,COLUMBIANA,536.0,YOUNGSTOWN OH
1256518,2012,6904,6904,M,583.0,38.0,ND,71.0,RAMSEY,724.0,FARGO-VALLEY CITY ND
1256921,2012,6904,6904,M,983.0,53.0,WA,53.0,PIERCE,819.0,SEATTLE-TACOMA WA
1257279,2012,4901,4901,D,171.0,42.0,PA,43.0,DAUPHIN,566.0,HARRISBURG-LANCASTER-LEBANON-YORK PA
1257514,2012,130,130,F,622.0,17.0,IL,189.0,WASHINGTON,609.0,ST LOUIS MO
1257682,2012,4901,4901,D,159.0,42.0,PA,21.0,CAMBRIA,574.0,JOHNSTOWN-ALTOONA PA
1258085,2012,61,61,F,601.0,17.0,IL,43.0,DU PAGE,602.0,CHICAGO IL
1258166,2012,8106,8106,C,27.0,25.0,MA,5.0,BRISTOL,521.0,PROVIDENCE-NEW BEDFORD RI-MA
1258325,2012,4901,4901,D,802.0,8.0,CO,59.0,JEFFERSON,751.0,DENVER CO
1258533,2012,6904,6904,M,539.0,55.0,WI,57.0,JUNEAU,669.0,MADISON WI
1258580,2012,4904,4904,D,983.0,53.0,WA,35.0,KITSAP,819.0,SEATTLE-TACOMA WA
1259049,2012,8106,8106,C,347.0,12.0,FL,97.0,OSCEOLA,534.0,ORLANDO-DAYTONA BEACH-MELBOURNE FL
1259339,2012,6904,6904,M,549.0,55.0,WI,39.0,FOND DU LAC,658.0,GREEN BAY-APPLETON WI
1259617,2012,5851,5851,M,880.0,35.0,NM,13.0,DONA ANA,765.0,EL PASO TX
1259937,2012,4901,4901,D,959.0,6.0,CA,101.0,SUTTER,862.0,SACRAMENTO-STOCKTON-MODESTO CA
1260548,2012,6904,6904,M,544.0,55.0,WI,119.0,TAYLOR,705.0,WAUSAU-RHINELANDER WI
1260722,2012,5851,5851,M,320.0,12.0,FL,23.0,COLUMBIA,561.0,JACKSONVILLE FL
1260843,2012,212,817,F,117.0,36.0,NY,103.0,SUFFOLK,501.0,NEW YORK NY
1261146,2012,4901,4901,D,932.0,6.0,CA,31.0,KINGS,866.0,FRESNO-VISALIA CA
1261735,2012,9104,9104,F,280.0,37.0,NC,25.0,CABARRUS,517.0,CHARLOTTE NC
1261948,2012,4901,4901,D,993.0,53.0,WA,5.0,BENTON,810.0,YAKIMA-PASCO-RICHLAND-KENNEWICK WA
1262355,2012,4901,4901,D,923.0,6.0,CA,71.0,SAN BRNRDINO,803.0,LOS ANGELES CA
1262758,2012,4901,4901,D,913.0,6.0,CA,37.0,LOS ANGELES,803.0,LOS ANGELES CA
1263161,2012,4901,4901,D,913.0,6.0,CA,37.0,LOS ANGELES,803.0,LOS ANGELES CA
1263215,2012,4901,4901,D,435.0,39.0,OH,39.0,DEFIANCE,547.0,TOLEDO OH
1263416,2012,4904,4904,D,625.0,17.0,IL,21.0,CHRISTIAN,648.0,CHAMPAIGN & SPRINGFIELD-DECATUR IL
1264175,2012,6904,6904,M,475.0,18.0,IN,37.0,DUBOIS,649.0,EVANSVILLE IN
1265176,2012,4904,4904,D,366.0,1.0,AL,97.0,MOBILE,686.0,MOBILE-PENSACOLA (FT WALTON BEACH) AL-FL
1265334,2012,130,130,F,454.0,39.0,OH,113.0,MONTGOMERY,542.0,DAYTON OH
